,Name,Price,Location,Date
0,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
1,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
2,Ghost of Tsushima PS4/ Gra kozak polecam,160,Ostrowiec Świętokrzyski,2020-11-10
3,Ghost of tsushima PS4,180,"Warszawa, Włochy",2020-11-10
4,Gra Ghost of Tsushima PS4,170,"Wrocław, Stare Miasto",2020-11-10
5,Ghost of tsushima ps4,150,"Katowice, Śródmieście",2020-11-9
6,Ghost of Tsushima PS4,150,Chorzów,2020-11-9
7,Ghost of Tsushima Ps4 PL,179,Racibórz,2020-11-9
8,Ghost of Tsushima PS4,175,Rutki-Kossaki,2020-11-9
9,Ghost of Tsushima PS4! PL!,125,"Szczecin, Centrum",2020-11-9
10,PS4 ghost of tsushima,160,"Kraków, Dębniki",2020-11-9
11,Ghost of Tsushima PS4 PL,150,Elbląg,2020-11-9
12,Ghost Of Tsushima PL PS4,169,Legnica,2020-11-9
13,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
14,Ghost of tsushima PS4,190,Lisewo,2020-11-9
15,Ghost of Tsushima PS4,190,Chorzów,2020-11-9
16,Ghost Of Tsushima PlayStation 4 PS4,140,Poturzyn,2020-11-8
17,Ghost of Tsushima ps4,180,Żukowo,2020-11-8
18,Ghost of Tsushima Ps4,199,"Kraków, Prądnik Czerwony",2020-11-8
19,Ghost of Tsushima ps4 PL,190,Bydgoszcz,2020-11-8
20,PS 4 GRA Ghost of tsushima,200,"Gdynia, Obłuże",2020-11-8
21,Gra Ghost Of Tsushima PL PS4 PlayStation 4 Jak Nowa,185,"Wrocław, Stare Miasto",2020-11-8
22,Ghost of Tsushima PS4 PL DUBBING,190,Ciemne,2020-11-8
23,Ghost of Tsushima PS4 PL,160,Łęczyca,2020-11-7
24,Ghost of Tsushima PS4,180,"Wrocław, Fabryczna",2020-11-7
25,Ghost Of Tsushima - Edycja Kolekcjonerska [PS4] (DUBBING PL),999.90,Dąbrowa Górnicza,2020-11-7
26,Ghost Of Tsushima PS4 STAN IDEALNY,149,Ustanów,2020-11-7
27,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
28,Gra Ghost of Tsushima PL nowa folia! Ps4 * Sklep CHORZÓW,229,Chorzów,2020-11-7
29,Gra PS4 Ghost of Tsushima Edycja Standardowa,259,"Łódź, Śródmieście",2020-11-6
30,PS4 Ghost of Tsushima PL Nowa Playstation 4,229,Buk,2020-11-6
31,Ghost of tsushima PS4,150,Buków,2020-11-4
32,Ghost of Tsushima ps4,150,Chorzów,2020-11-4
33,PS4 Ghost of Tsushima Edycja Kolekcjonerska PL Playstation 4 Nowa,850,Buk,2020-11-4
34,"Lombard na Lewara Gra PS4 ""Ghost of Tsushima""",169,Wałbrzych,2020-11-4
35,Ghost of tsushima PS4,170,Pułankowice,2020-11-3
36,Ghost of Tsushima Ps4 PL Gwarancja,199,Koszalin,2020-11-3
37,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
38,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
39,Ghost of Tsushima PS4 Kupno/Sprzedaż/Wymiana Lara Games,209,Bydgoszcz,2020-11-2
40,Ghost of Tsushima PL Ps4,170,Świdnica,2020-11-2
41,Ghost of Tsushima PS4 / PL,180,"Warszawa, Bemowo",2020-11-1
42,Ghost Of Tsushima Edycja Specjalna PL. - Ps4,230,Koszalin,2020-11-1
43,Ghost of Tsushima - PS4,179,Strzelce Opolskie,2020-11-1
44,[Tomsi.pl] Ghost Of Tsushima PL PS4 PlayStation 4,200,"Łódź, Górna",2020-10-31
45,Ghost of Tsushima PS4 + Slim + Pro = PŁYTA PL Wejherowo / Wymiana,219.19,Wejherowo,2020-10-31
46,"PlayStation Ps 4 NBA 2K 21, Marvel Avengers, Ghost of Tsushima! Wymian",169,"Katowice, Zarzecze",2020-10-31
47,Gra GHOST OF TSUSHIMA PL PS4 / Nowa / Folia / Sklep / Dubbing pl!,239,"Poznań, Piątkowo",2020-10-28
48,GHOST OF TSUSHIMA / NOWA / GRA PS4 / Polska wersja / Kraków,249,"Kraków, Prądnik Czerwony",2020-10-28
49,The Last of US 2 PL PS4 możliwa zamiana za ghost tsushima,160,Łomża,2020-10-27
