,Name,Price,Location,Date
0,Ghost of Tsushima PS4 nowa,170,Radom,2020-11-11
1,Ghost of Tsushima PS4/ Gra kozak polecam,160,Ostrowiec Świętokrzyski,2020-11-10
2,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
3,Ghost of Tsushima na PS4 pl  super hit!,199,Żory,2020-11-12
4,Ghost of Tsushima PS4,150,Kudowa-Zdrój,2020-11-12
5,Gra Ghost Of Tsushima PS4 PL,199,"Warszawa, Białołęka",2020-11-12
6,ghost of tsushima ps4,170,"Kraków, Podgórze",2020-11-12
7,Ghost of tsushima PL PS4,170,"Katowice, Śródmieście",2020-11-12
8,Ghost Of Tsushima ps4,170,"Poznań, Chartowo",2020-11-12
9,GhostOf Tsushima PS4,160,Rybnik,2020-11-12
10,Ghost of Tsushima - Gra PS4 / PS5 (wsteczną kompatybilność),155,Ruda Śląska,2020-11-12
11,Ghost of tsushima PS4,150,Nowa Sól,2020-11-12
12,Gry PS4 PlayStation 4 Ghost of Tsushima TLOU2 Tony Hawks Assasin Creed,123,"Łódź, Górna",2020-11-11
13,Ghost Of Tsushima Pl Lektor Ps4,150,Koronowo,2020-11-11
14,Ghost of tsushima ps4,170,Radom,2020-11-11
15,Ghost Of Tsushima PS4 pl,160,Gniazdów,2020-11-11
16,Ghost Of Tsushima PS4 dubbing idealna,180,"Gdańsk, Orunia - Św. Wojciech - Lipce",2020-11-11
17,Ghost of tsushima Wersja PL ps4,160,Aleksandrów Kujawski,2020-11-11
18,Ghost of Tsushima PS4 PL,190,"Gdańsk, Wrzeszcz",2020-11-11
19,Ghost of Tsushima PL PS4,165,"Łódź, Śródmieście",2020-11-11
20,Ghost Of Tsushima PS4,160,Kleszczów,2020-11-11
21,Ghost of Tsushima PS4 PL,155,"Warszawa, Wola",2020-11-11
22,"PlayStation Ps 4 Marvel Avengers, The Last Of Us 2, Ghost Of Tsushima!",149,"Katowice, Zarzecze",2020-11-11
23,Ghost of Tsushima PS4 nowa,170,Radom,2020-11-11
24,Ghost Of Tsushima pl ps4 (aktualne) polski dubbing,190,"Warszawa, Mokotów",2020-11-11
25,Ghost of Tsushima PS4,180,"Gdynia, Chwarzno-Wiczlino",2020-11-11
26,Ghost of Tsushima PS4,170,Inowrocław,2020-11-10
27,Ghost Of Tsushima ps4,180,Kruszwica,2020-11-10
28,Gra Ghost of Tsushima PS4 Playstation,195,Kalisz,2020-11-10
