,Name,Price,Location,Date
0,Ghost of Tsushima PS4 nowa,170,Radom,2020-11-11
1,Ghost of Tsushima PS4/ Gra kozak polecam,160,Ostrowiec Świętokrzyski,2020-11-10
2,Ghost of Tsushima PS4,170,Grudziądz,2020-11-11
3,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
4,Ghost of Tsushima Ps4 Pl,150,"Wrocław, Krzyki",2020-11-11
5,Ghost of tsushima Wersja PL ps4,160,Aleksandrów Kujawski,2020-11-11
6,Ghost of Tsushima - PS4,150,"Warszawa, Ochota",2020-11-11
7,Ghost Of Tsushima PS4,180,"Warszawa, Wola",2020-11-11
8,Ghost of Tsushima PS4 PL,190,"Gdańsk, Wrzeszcz",2020-11-11
9,Ghost of Tsushima PS4,170,Grudziądz,2020-11-11
10,Ghost of Tsushima PL PS4,180,"Łódź, Śródmieście",2020-11-11
11,Ghost Of Tsushima PS4,160,Kleszczów,2020-11-11
12,Ghost of Tsushima PS4 PL,180,Zgierz,2020-11-11
13,Ghost of Tsushima PS4 PL,155,"Warszawa, Wola",2020-11-11
14,"PlayStation Ps 4 Marvel Avengers, The Last Of Us 2, Ghost Of Tsushima!",149,"Katowice, Zarzecze",2020-11-11
15,Ghost of Tsushima PS4 nowa,170,Radom,2020-11-11
16,Ghost Of Tsushima pl ps4 (aktualne) polski dubbing,200,"Warszawa, Mokotów",2020-11-11
17,Ghost of Tsushima PS4,180,"Gdynia, Chwarzno-Wiczlino",2020-11-11
18,Ghost of Tsushima PS4 PL,150,Turek,2020-11-10
19,Ghost of Tsushima PS4,170,Inowrocław,2020-11-10
20,Ghost of Tsushima PS4,160,Bochnia,2020-11-10
21,Ghost of tsushima PL. Ps4,170,Koplany Kolonia,2020-11-10
22,Ghost of tsushima ps4,200,Zabrze,2020-11-10
23,Ghost Of Tsushima ps4,180,Kruszwica,2020-11-10
24,Gra Ghost of Tsushima PS4 Playstation,195,Kalisz,2020-11-10
25,The Ghost of Tsushima PS4 Szczecin Zamiana na Crash Bandicoot 4,180,"Szczecin, Warszewo",2020-11-10
26,Ghost of tsushima ps4,150,"Kraków, Łagiewniki-Borek Fałęcki",2020-11-10
27,Ghost of Tsushima PS4/ Gra kozak polecam,160,Ostrowiec Świętokrzyski,2020-11-10
28,Ghost of tsushima PS4,180,"Warszawa, Włochy",2020-11-10
29,Ghost of Tsushima Ps4 PL,170,Racibórz,2020-11-9
30,Ghost of Tsushima PS4,175,Rutki-Kossaki,2020-11-9
