,Name,Price,Location,Date
1,Ghost of Tsushima PL PS4,160.0,Namysłów,2020-11-13
2,Ghost of tsushima ps4,170.0,"Szczecin, Centrum",2020-11-13
3,Ghost of tsushima ps4,189.0,Grzędzice,2020-11-13
4,Ghost of tsushima na ps4 Polska wersja,199.0,"Poznań, Łacina",2020-11-13
5,Ghost of Tsushima PS4 stan bardzo dobry,180.0,"Kraków, Grzegórzki",2020-11-13
6,Ghost of Tsushima PL PS4 jak nowa *Sklep Bytom,189.0,Bytom,2020-11-13
7,Ghost of tsushima PS4 Stan idealny,170.0,"Warszawa, Śródmieście",2020-11-13
8,Ghost of Tsushima PL PS4 Opole DT Ziemowit,180.0,Opole,2020-11-13
9,Ghost of Tsushima ps4,170.0,"Wrocław, Śródmieście",2020-11-13
10,Ghost of Tsushima / PS4 / PS5,160.0,Chorzów,2020-11-13
11,Ghost of tsushima Ps4 Nowa,200.0,"Kraków, Prądnik Czerwony",2020-11-13
12,Ghost Of Tsushima PS4,170.0,Nowy Dwór Mazowiecki,2020-11-12
13,Ghost of Tsushima PS4,170.0,Inowrocław,2020-11-12
14,Ghost of tsushima ps4 pl,150.0,Ząbki,2020-11-12
15,Ghost of Tsushima PS4,180.0,Libertów,2020-11-12
16,Ghost of Tsushima PS4 PL napisy Rezerwacja do 17.11,170.0,"Warszawa, Ochota",2020-11-12
17,Ghost of Tsushima na PS4 pl  super hit!,190.0,Żory,2020-11-12
18,Gra Ghost Of Tsushima PS4 PL,199.0,"Warszawa, Białołęka",2020-11-12
19,ghost of tsushima ps4,160.0,"Kraków, Podgórze",2020-11-12
20,Gry PS4 PlayStation 4 Ghost of Tsushima TLOU2 Tony Hawks Assasin Creed,123.0,"Łódź, Górna",2020-11-11
21,Ghost of tsushima ps4,170.0,Radom,2020-11-11
22,Ghost Of Tsushima PS4 pl,160.0,Gniazdów,2020-11-11
23,Ghost of tsushima Wersja PL ps4,160.0,Aleksandrów Kujawski,2020-11-11
24,Ghost of Tsushima PL PS4,165.0,"Łódź, Śródmieście",2020-11-11
25,Ghost Of Tsushima PS4,160.0,Kleszczów,2020-11-11
26,"PlayStation Ps 4 Marvel Avengers, The Last Of Us 2, Ghost Of Tsushima!",149.0,"Katowice, Zarzecze",2020-11-11
27,Ghost Of Tsushima pl ps4 (aktualne) polski dubbing,190.0,"Warszawa, Mokotów",2020-11-11
28,Ghost Of Tsushima ps4,180.0,Kruszwica,2020-11-10
29,Gra Ghost of Tsushima PS4 Playstation,195.0,Kalisz,2020-11-10
30,Ghost of tsushima PS4,180.0,"Warszawa, Włochy",2020-11-10
31,Ghost of Tsushima Ps4 PL,165.0,Racibórz,2020-11-9
32,Ghost of Tsushima PS4,175.0,Rutki-Kossaki,2020-11-9
33,Ghost of tsushima PS4,190.0,Lisewo,2020-11-9
34,Ghost Of Tsushima PlayStation 4 PS4,140.0,Poturzyn,2020-11-8
35,Ghost of Tsushima Ps4,190.0,"Kraków, Prądnik Czerwony",2020-11-8
39,PS4 Ghost of Tsushima PL (Możliwa Zamiana),180.0,"Gdańsk, Chełm z dzielnicą Gdańsk Południe",2020-11-7
40,Gra PS4 Ghost of Tsushima Edycja Standardowa,259.0,"Łódź, Śródmieście",2020-11-6
42,"Lombard na Lewara Gra PS4 ""Ghost of Tsushima""",169.0,Wałbrzych,2020-11-4
43,Ghost of Tsushima Ps4 PL Gwarancja,199.0,Koszalin,2020-11-3
45,Ghost of Tsushima PS4 Kupno/Sprzedaż/Wymiana Lara Games,209.0,Bydgoszcz,2020-11-2
46,Ghost of Tsushima PS4 / PL,180.0,"Warszawa, Bemowo",2020-11-1
47,Ghost Of Tsushima Edycja Specjalna PL. - Ps4,230.0,Koszalin,2020-11-1
48,[Tomsi.pl] Ghost Of Tsushima PL PS4 PlayStation 4,200.0,"Łódź, Górna",2020-10-31
49,Ghost of Tsushima PS4 + Slim + Pro = PŁYTA PL Wejherowo / Wymiana,219.19,Wejherowo,2020-10-31
50,"PlayStation Ps 4 NBA 2K 21, Marvel Avengers, Ghost of Tsushima! Wymian",169.0,"Katowice, Zarzecze",2020-10-31
51,GHOST OF TSUSHIMA / NOWA / GRA PS4 / Polska wersja / Kraków,249.0,"Kraków, Prądnik Czerwony",2020-10-28
52,The Last of US 2 PL PS4 możliwa zamiana za ghost tsushima,160.0,Łomża,2020-10-27
53,Ghost of Tsushima Ps4 PL,170.0,Żagań,2020-10-27
54,Ghost of Tsushima PL PS4 Opole DT Ziemowit,229.0,Opole,2020-10-27
56,PS4 Ghost of Tsushima PL Dubbing Playstation 4,199.0,Buk,2020-10-24
58,Ghost of Tsushima PL PS4 Jak nowa --- możliwość zamiany SKLEP,180.0,"Warszawa, Ursus",2020-10-21
59,The Last Of Us II pl Stan ideał /Ghost of Tsushima 190zł (Pro ps4 1290,185.0,Bochnia,2020-10-18
60,Ghost of tsushima ps4,180.0,Wałbrzych,2020-10-17
61,Ghost of Tsushima PS4 Wersja PL Dostępna już Dziś. !,249.0,Sosnowiec,2020-10-16
63,-Games Zone -Ghost of TSUSHIMA PL| PS4,220.0,Tomaszów Mazowiecki,2020-10-16
64,Ghost of Tsushima PS4 Nowa Kraków,229.0,"Kraków, Zwierzyniec",2020-10-15
