,Name,Price,Location,Date
0,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
1,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
2,PS4 Ghost of tsushima Najtaniej !,150,"Łódź, Bałuty",2020-11-9
3,Ghost Of Tsushima PS4 stan idealny,149,"Kraków, Dębniki",2020-11-9
4,Ghost of Tsushima PS4,170,"Kraków, Mistrzejowice",2020-11-9
5,Ghost Of Tsushima PL PS4,169,Legnica,2020-11-9
6,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
7,Ghost of Tsushima ps4,140,Chorzów,2020-11-9
8,Ghost of tsushima PS4,190,Lisewo,2020-11-9
9,Ghost of Tsushima PS4,190,Chorzów,2020-11-9
10,Ghost Of Tsushima PlayStation 4 PS4,140,Poturzyn,2020-11-8
11,"Gry PS4 50-60zł za sztukę RDR2, Spider Man, Ghost of Tsushima",50,Sokółka,2020-11-8
12,Ghost of Tsushima ps4,180,Żukowo,2020-11-8
13,Ghost of Tsushima Ps4,199,"Kraków, Prądnik Czerwony",2020-11-8
14,Ghost of Tsushima ps4 PL,190,Bydgoszcz,2020-11-8
15,Ghost of Tsushima PL PS4,180,Ruda Śląska,2020-11-8
16,Ghost of tsushima na ps4,150,Przygodzice,2020-11-8
17,PS 4 GRA Ghost of tsushima,200,"Gdynia, Obłuże",2020-11-8
18,Gra Ghost Of Tsushima PL PS4 PlayStation 4 Jak Nowa,185,"Wrocław, Stare Miasto",2020-11-8
19,Ghost of Tsushima PS4 PL DUBBING,190,Ciemne,2020-11-8
20,Ghost of tsushima ps4 playstation 4,170,"Warszawa, Praga-Południe",2020-11-8
21,Ghost of Tsushima PS4 PL,160,Łęczyca,2020-11-7
22,Ghost of Tsushima PS4,200,"Kraków, Bieżanów-Prokocim",2020-11-7
23,Ghost of Tsushima PS4,180,"Wrocław, Fabryczna",2020-11-7
24,Ghost Of Tsushima - Edycja Kolekcjonerska [PS4] (DUBBING PL),999.90,Dąbrowa Górnicza,2020-11-7
25,Ghost Of Tsushima PS4 STAN IDEALNY,149,Ustanów,2020-11-7
26,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
27,Gra Ghost of Tsushima PL nowa folia! Ps4 * Sklep CHORZÓW,229,Chorzów,2020-11-7
28,Gra PS4 Ghost of Tsushima Edycja Standardowa,259,"Łódź, Śródmieście",2020-11-6
29,PS4 Ghost of Tsushima PL Nowa Playstation 4,229,Buk,2020-11-6
30,Ghost of tsushima PS4,150,Buków,2020-11-4
31,Ghost of Tsushima ps4,150,Chorzów,2020-11-4
32,PS4 Ghost of Tsushima Edycja Kolekcjonerska PL Playstation 4 Nowa,850,Buk,2020-11-4
33,"Lombard na Lewara Gra PS4 ""Ghost of Tsushima""",169,Wałbrzych,2020-11-4
34,Ghost of tsushima PS4,170,Pułankowice,2020-11-3
35,Ghost of Tsushima Ps4 PL Gwarancja,199,Koszalin,2020-11-3
36,Ghost of Tsushima PS4 stan idealny!,199,Lublin,2020-11-3
37,Ghost of Tsushima PS4,170,Grudziądz,2020-11-9
38,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
39,Ghost of Tsushima PS4 Kupno/Sprzedaż/Wymiana Lara Games,209,Bydgoszcz,2020-11-2
40,Ghost of Tsushima PL Ps4,170,Świdnica,2020-11-2
41,Ghost of Tsushima PS4 / PL,180,"Warszawa, Bemowo",2020-11-1
42,Ghost Of Tsushima Edycja Specjalna PL. - Ps4,230,Koszalin,2020-11-1
43,Ghost of Tsushima - PS4,179,Strzelce Opolskie,2020-11-1
44,[Tomsi.pl] Ghost Of Tsushima PL PS4 PlayStation 4,200,"Łódź, Górna",2020-10-31
45,Ghost of Tsushima PS4 + Slim + Pro = PŁYTA PL Wejherowo / Wymiana,219.19,Wejherowo,2020-10-31
46,"PlayStation Ps 4 NBA 2K 21, Marvel Avengers, Ghost of Tsushima! Wymian",169,"Katowice, Zarzecze",2020-10-31
47,Gra GHOST OF TSUSHIMA PL PS4 / Nowa / Folia / Sklep / Dubbing pl!,239,"Poznań, Piątkowo",2020-10-28
48,GHOST OF TSUSHIMA / NOWA / GRA PS4 / Polska wersja / Kraków,249,"Kraków, Prądnik Czerwony",2020-10-28
